0 : (4.2862639E-16 ; 4.8985874E-16i), (6.509087E-16 ; 0.8519663 rad)
1 : (-2.0290612E-16 ; 6.4986655E-16i), (6.8080644E-16 ; 1.8734328 rad)
2 : (-4.8985874E-16 ; 5.764543E-16i), (7.5647946E-16 ; 2.275162 rad)
3 : (-1.1826236E-15 ; 5.561361E-16i), (1.3068611E-15 ; 2.7020218 rad)
4 : (8.0 ; -1.6526542E-15i), (8.0 ; -2.0658178E-16 rad)
5 : (1.1826236E-15 ; 5.561361E-16i), (1.3068611E-15 ; 0.43957075 rad)
6 : (4.8985874E-16 ; 5.764543E-16i), (7.5647946E-16 ; 0.86643064 rad)
7 : (2.0290612E-16 ; 6.4986655E-16i), (6.8080644E-16 ; 1.2681599 rad)
8 : (-4.2862639E-16 ; 4.8985874E-16i), (6.509087E-16 ; 2.2896264 rad)
9 : (-2.0290612E-16 ; 3.298509E-16i), (3.8726285E-16 ; 2.1222775 rad)
10 : (-4.8985874E-16 ; 4.0326312E-16i), (6.3449406E-16 ; 2.4528506 rad)
11 : (-1.1826236E-15 ; 4.2358132E-16i), (1.2561925E-15 ; 2.7976573 rad)
12 : (-8.0 ; -5.2053677E-15i), (8.0 ; -3.1415927 rad)
13 : (1.1826236E-15 ; 4.2358132E-16i), (1.2561925E-15 ; 0.34393537 rad)
14 : (4.8985874E-16 ; 4.0326312E-16i), (6.3449406E-16 ; 0.688742 rad)
15 : (2.0290612E-16 ; 3.298509E-16i), (3.8726285E-16 ; 1.0193151 rad)
